,comment
10,How is this going to make food more affordable for the average American? American families are struggling!!
11,"expect soft drinks to go up, expect foods canned in iron alloy cans to go up."
12,"Wow now we can't wait for all the construction companies ,cars and ship builders   in the US to be thrilled they voted for Trump."
13,"Trumpski goes from ""lower inflation on day ONE"", to ""there will be some pain"" in a NY minute."
14,'Murcans need to invest in some education for its leaders and citizens ... its truly remarkable how  steeped in protectionism and racism the old timers are.
15,These tariffs will hurt U.S manufactoring
16,I think it's interesting how quiet the UK has been considering Canada is part of the Common Wealth and the threat to Canada's sovereignty from the US.
17,American here. MOST OF US DONT SUPPORT TRUMP! Juat saying this so the world doesnt give up on us and supported the people fighting against Trumpism cause we need support rn.
18,I wonder if these reporters think he's nuts but they are too nice to say 
19,I don’t get why more people aren’t talking about 'Forbidden Path for Achieving Wealth' – it’s something you need to know
20,We all know these tariffs will last only a couple of days...
21,"It's hilarious that he slaps sanctions on everyone as a punishment, then put tariffs on all goods coming into his own country, effectively sanctioning himself."
22,"Trump has always been about ""America First"" and shut down USAID to stop 'unneccessary' spending overseas, yet here he is suggesting the US pays billions to redevelop an area the size of Manhattan island - what happened to paying for homes for homeless American war veterans? Why isn't that being spent on Americans?"
23,"EU will react against ""unlawful"" US tariffs, says European Commission."
24,In America we also tax if you say aluminum differently
25,"This book really opened my eyes, has anyone else read 'Forbidden Path for Achieving Wealth'?"
26,He is going to a dictatorship 
27,"This will be GRAND.... wasn't this tried in 2019? ah who cares lets try it again... 
I am still laughing, people said Trump wouldn't set back USA a decade."
28,Ho hum  so this domestic USA tax is paid there. Damaging for their car industry’s etc.   Still is the Gulf of Mexico btw.
29,"So, wait a minute, steel works are a strategic industry, and allowing china to destroy it with cheap imports would be strategic madness. And we have allowed our steel works, in the UK, to be destroyed. But trump is the mad one?

I'm not quite understanding the reasoning here."
30,I don’t understand this “which he renamed the Gulf of America” nonsense. Trump doesn’t have any control over how the rest of the world refers to a body of water.
31,How many blast furnaces are still working in the UK?
32,The Gulf of America is the void located under that ugly mass of combover!
33,bbc asking about tarrif on aluminium and steel in air force one and trump cannot understand sarcasm
34,"Google maps for me says ""Gulf of Mexico (Gulf of America)"""
35,Do you know why uk government is silent on 51st state plan because britain is the original 51st state and if trump wanna change it then it's ok for britain 
36,"Delighted to say I'm favoured over $100k every 4 weeks thanks to my portfolio manager. I now have few properties and can afford anything and also support my family, if you want to be successful, have the mindset of one, invest more and spend less, glad I understood that."
37,American cars and trucks will be a lot more expensive.
38,Now the BBC is just a bunch of characters with huge microphones in their garages?
39,From a US Citizen our Google Map now says Gulf Of America  this is crazy..
40,The rest of the world only knows that aluminium not that stupid spelling of it so we're okay to still send it without tariffs!
41,BBC seems to be short on reports today.  Must be all that lack of USAID funding 
42,"From my Canadian URL Google maps says Gulf of Mexico (Gulf of America). Same when I switched my VPN to the UK, America, Russia, Netherlands and other European countries."
43,Trump just assumes world leaders suffer from Coulrophobia.
44,Google has now changed the Gulf of Mexico to Gulf of America on its maps 
45,Uk your tariffs are coming this week
46,Trump gets elected on a platform of lowering taxes and ....imposes a tax which is called a tariff 
47,"UK exports of steel are less than 3% of our total production. Aluminium exports are negligible for the UK. This will have little effect on the UK. Germany on the other hand will have 10 billion dollars worth of tariffs, if this is applied as a blanket tariff on all steel. Basically, everything made out of it will get more expensive in the USA. Americans will be poorer. The American government will be richer."
48,
49,"What borders on stupidity?

Mexico and Canada"
50,It would help if you could say Aluminium if you want to sell it. This maybe the problem?
51,Stop reporting on America!! They elected him we elected Labour. Focus on the shenanigans in Westminster.
52,"Musk calls German Green Party's candidate for chancellor ""a piece of shit"
53,More BBC wokey meltdown.
54,"""Trade war with China is easy to win,"" stated Donald Trump, who easily won it, then compelled China 🇨🇳 to sign the one-way Phase-1 agreement."
55,Crash is coming in metal stocks 
56,4:15 and what of it? 
57,"From the BBC, NYT and Politico ... at this point it might be easier to find out who USAID has NOT funded in the media sphere"
58,Anyway. Britiah politicians getting big pay rise while the working class get poorer and their hard earned cash is sent abroad.
59,"trump adds tarrifs ""why are we short on everything?!?!"""
60,It says Gulf of America at this point on Google Maps. Viewing from Oregon at abt 1700pm 10 Feb 2025
61,we want to be more like Time Hortons that place is for US
62,Un sinkable is sinking now... & it's very timidly weakestTimidly.
63,Meet the fake news.
64,the Trumpus is reading mein kampf every night
65,I'm worried more about the fallout from Irans nuclear reactor that's only good for weapons grade uranium enrichment.
66,Last time you said America was going to go broke now we have Mexico and Canada securing their side of the boarder which is all he was asking for to begin with
67,"The most misinformed comments section I've seen in a while. This is bad, even for a BBC audience."
68,"Trump's steel, aluminum tariffs Once we get back to Made in America this will not affect Americans 
Federalist Papers 
Author: Alexander Hamilton`
In America, far the greatest part of the national revenue is derived from taxes of the indirect kind, from imports, and from excises, duties on imported articles.  In America, it is evident that we must a long time depend for the means of revenue chiefly on such duties.

Those who attempt to bash or dismiss Hamilton and the time frame he lived in, are only attempting to separate you from your history."
69,in Thule America were about US we own that area British Columbia were doing natural law
70,Gr8 tash
71,"Good. Americans would rather buy American. Next!
Cough, cough. There are NO American vehicles manufactured in America.  They are ALL assembled in America.
Which is why tariffs will work."
72,Don’t make Trump crazy about these things Don’t try Trump to not  plunge his self and others but by the joint consultations apply these tariffs so all the economies benefit from it not applying the tariffs unilaterally as a retaliatory economic counter trade measure.
73,Buy US steel asap
74,Yes because hamas owns it now.  You think we just want to rebuild it for Hamas?
75,After reading 'Forbidden Path for Achieving Wealth' I finally understood why so many people struggle with money it reveals things most people don’t even know about how money really works has anyone else read it
76,You guys in the uk have tariffs on us this is just us leveling with you in the UK stop tariffing us an we'll stop terriffing you
77,This is Budweiser's chance to take the lead again as America's #1 beer! Stop buying Mexican beer people!
78,"️ = Almighty
️ = Sunday"
79,
80,Lol I think the world has gone insanely mad. Apocalypse?
81,Rwandan expansionism in Congo
82,"Good grief! Please, Lord, forgive us and deliver us from this arrogant pharoah. Hear our grief and tears because of this crazy tyrant.  Bring us back to love and sanity."
83,"What will the fallout be from President Trump’s new steel and aluminium tariffs? 
A huge runny 5h!t."
84,"Non stop having ago at Trump, Anthony Zurcher even used the new democrat buzz word, constitutional crisis."
85,1:28 What kind of name is Somaskanda. Some Americans must be thinking she is from Wakanda since that's how competent their education system is.
86,Tariffs work!!! Go Trump!!  the US piggy bank is closed!!!
87,"Hey BBC, what's your thoughts on the Lucy Letby case today. Most media outlets have the breaking news, but not you. BTW, she's been found innocent. How do you like those apples?!"
88,"В Эстонии у границы с Россией развернули подразделение армии США
МОСКВА, 11 фев — РИА Новости. Подразделение армии США развернуто на эстонской военной базе у границы с Россией, сообщает телерадиовещательная компания ERR.
p.s.
это всё что нужно знать о политических дипломатических и экономических успехах прибалтииских сопредельных с нами государств и их ""30 летнюю героическую борьбу за независимость""! знают ли в Пентагоне что у них не один а как минимум десять деиствующих президентов США? мне кажется эти люди за всю историю существования НАТО, так и не смогли осилить эту мысль! в ней слишком много буков!"
89,My name scott seres I need opp fir lung and gadgets they trying or pos infecting me to prevent I scared to take my meds I need help ASAP pls
