,comment
10,Reciprocal? He started it!
11,This is a DISASTER.
12,"Quietly, in Canada, US manufactured goods are ignored. You just haven't noticed it yet! Once his tariffs are implemented against Canada, anything made from aluminum , will go up a lot!"
13,"The EU has ZERO tariffs on the USA.
But we will put tariffs on you if you put on us."
14,"Stop calling these reciprocal tariffs, they are his tariffs.   Oh now, it’s April?  FO trump"
15,This helps us how? Each country we have bullied?  China is already there. They strategically planned ahead. Its amazing how many countries they are helping. They expanded a port in Mexico that has a direct route to China. Built a speed rail train in Africa. China has made friends and gotten new resources.
16,The groceries are already so high.
17,"DEAR LORD, WHY HAVE YOU FORSAKEN US?"
18,These people don’t have to worry about the price of food or goods good job all
19,"You know, the problem is really not about having a moron for president (though that, in and of itself, can present problems).  After all, not every president has had a high level of expertise in business and economics.  The problem is having a egomaniacal malignant narcissist for president who thinks he actually knows better than everyone else and therefore won't take advice from the people who DO have a high level of expertise in all of these different areas."
20,"So, the prices might go up in the short term... and Trump said that once prices go up they are difficult to bring back down.  What is it that the American public doesn't understand.  You might want to read ""Tariffs for Dummies""."
21,"If the rest of the world imposes tariffs on the US, expect Chump to whine... no favours, no fortune for Donald J Chump.  Everyone should stay united until this is done.

To add, VAT tax is paid by everyone, had nothing to do with where it came from.  But then again, this is Donald Chump."
22,You need to clarify that VAT is applied to all products both foreign and domestic so it is not like a tariff that is only applied to foreign products.  So VAT is not aimed at the US products.  If the US wants to put a VAT on all products in the US then that can be compared to VAT.  But for someone like the UK to take off VAT from US products would put their own products at a disadvantage.  So it is not going to happen.  The EU and other countries can either accept the tariffs that Trump imposes or retaliate.  But they are not about to lift their VATs on American products.
23,"Is there no one intelligent and brave enough to advise him that tariffs will hurt the end consumers the most. Really wondering if Trump and his team actually understands the difference between Exports and Imports and how tariffs actually works and who gets affected in the end. Because if he really knew about tariffs, he definitely wouldn't have imposed it in the first place. Period "
24,Trumpflation comin' at ya!!!
25,"Keep threaten tariff to other countries. American not only buys expensive eggs. Energy, clothing, everything will go insane. This calls Trump trade."
26,The markets seem to think this is some sort of bargaining ploy and they aren't going to last long.
27,Trump was wrong. Im not tired of winning. 
28,EU VAT are the equivalent to the sales taxes we have in the states. This is a moronic comparison…
29,"There are 160 countries, then 159 should deal with anyone but the usa!"
30,"Trump will raise prices across the board,affect jobs.I thought he was smart"
31,Trump is pleading for no trade. Give him what he wants and what Americans voted for.... Isolation!
32,">Keep the following in mind. These tariffs are an expensive distraction. The real problem is the US national debt. In the year 2000 the debt stood at $5.0 Trillion US but now it stands at over $36.0 Trillion US. In four years, that debt will zoom over $40.0 Trillion US. With the hidden cost of the tariff move that debt could easily hit $44.0 Trillion US in four years.
>The only way to slow and then reverse that climb in debt is to grow the economy, increasing the GDP faster than the increases in the debt. The ratio of Debt/GDP is around 125 % and the only way to get this down below 100% is by increasing the GDP. These tariffs will do the opposite. Turning against the two allies, Canada and Mexico, will just accelerate the rise in debt while diminishing the rise in GDP of the US.
Does anyone in Washington not see this?
Thanks for reading. Please comment."
33,I hope Trump forces other countries to reciprocate the US de minimis rate on US goods via the mail.  That would be great for consumers around the world and reduce prices.
34,Nice! This will bring down inflation!
35,My… Bloomberg is so excited about money and rich people. Reporting Trump’s thoughts as if they were a thing of value.
36,THE PRICES ON EACH TARIFFS ITEM WILL BE GO UP ️
37,Oh im sorry. Are we suppose to know what reciprocal tariffs are ?  You guys know your viewers  are not bright. So why are you guys reporting this and not explaining what it is ?
38,"The US Nimitz-class aircraft carrier USS Harry S. Truman collided with the Turkish merchant ship Besiktas-M while operating near Port Said, Egypt, in the Mediterranean region -  When an aircraft carrier collides with a merchant ship, what about those frigates standing by ?  eating shit? The United States’ military power is the best in the world!"
39,He needs to check with his BOSS Elon first.
40,"People know what reciprocal means. And you got it backwards.
How can you call yourself news."
41,What does Bloomberg know about life… so excited about money moves and the wealthy. Truly useless
42,Amrican poset all presnale so no one good hiddline jornaliest  bicouse   100% presnale  one by one showe hidfing stipe by srtipe Amrican poset strongliy only this values  all feek presne luoked bicouse all fules no including
43,Daddy’s got this. USA USA USA 🇺🇸
44,"Jornaliest qulitiy
Jornaliest profuser
Jornaliest andrestanding
Jirnaliest no atked exsprines
Jornaliest qulitiy education
Jirnaliest qulitiy exsprines
Jornaliest fano
May no Dana"
45,America has the lowest trade/gdp ratio of any developed nation.  You could totally cease all trade and the economy would get better for the average American.  It's only the super rich that don't want tariffs.
46,"Here is the problem for Americans who do no research nor understand tariffs in the first place. 90% of what the US imports from Canada is used to go into a finished product it is not a consumable product. Whereas a bulk of what Canada imports from the US is consumer based goods for the buyer. Like Heinz, booze, etc. Now that Canada, the EU and other countries who the mutt in charge is targeting are just going to buy locally made food, booze, consumables and travel locally or anywhere but the US there will be major disruption to the US economy. That's the difference and that's where it is going to be devastating for American jobs..."
