,comment
10,Mexico and canada already outsmarted him 
11,This new headline shows what kind of people are supporting this country right now
12,"Here come all those high paying steel mill jobs, right ?"
13,I thought he paused tariff for 30 days on Canada and Mexico
14,"Hmmm
He’s upset because other countries are kicking our butts economically?
Sounds like we in the US need to do better."
15,Glad I got out of sheet metal ac manufacturing and went back to plastic industry
16,"Ah, yes, more tariffs, just what we needed, to raise consumer prices even further."
17,"Great, now I'm paying more for steel...smh"
18,My coworkers are gonna be mad af xD
19,Whoever wrote the headline must be in about 5th grade 
20,"Didn’t he try to do this in his last term and it cost like 50,000 jobs?"
21,"Omg fire who wrote the title, I’ll do it."
22,"On his last term, he applied tariffs to steel and it resulted in the lose of over seventy thousand jobs in america..."
23,How do you like those’s grocery places under him along with every ekse that is going up
24,"We estimate the likely impact on U.S. consumers and find that by the end of 2018, import tariffs were costing U.S. consumers and the firms that import foreign goods an additional $3 billion per month in added tax costs and another $1.4 billion per month in deadweight welfare (efficiency) losses."
25,Full of it . I wanna say worse but You Tube won’t let me.
26,Steel ownership is essential for railroad maintanence
27,He will be Announce. What a unique name change.
28,"WOW great!..houses will cost more now. You need steel for foundation , house prices is already  astronomical "
29,The steel mills in PA employed thousands of people and then it was over! Japan bought it out and nothing ever replaced it
30,Is nippon steel( japan) taking over US steel? Two days after meeting with Japan the tarrifs...wonder if he got a kickback?
31,"ok so what about all the lithium we need and other resources, everythings bouta double"
32,"no matter if he is inside a plane, the rebel CORN hair he has keep moving!"
33,Shame on the republicans for not nominating a competent candidate…trump was a disaster last time and even worse the 2nd time around so far
34,"The video is a lie he says Tuesday or Wednesday, not Monday"
35,Trump has had some wild hair days but today is my favorite ever 🫡
36,Youngstown Ohio back in the day was steel city USA
37,"Guess Trump doesn't remember doing 25% Tariffs on steel in 2018. The Result: Steel employment went up 0.3%. But, production fell on steel made products such a appliances and autos by -1.1% then retaliatory tariffs dropped manufacturing employment down to -1.4%"
38,You put a tarrif on the final product not the raw material dumb trump. Now they will just manufacture the product outside the US and ship it in
39,"Then everything made of metals in USA will become 25% more expensive: car, appliance, almost everything!"
40,Forbes have made minimum of 2 spelling mistakes in english headlines in 1day.
41,Announcing**
42,You never allow a foreign country own your steel industry. What would happen if we needed to inctease our produxion for weapons systems only to find out we sold it to our enemies
43,Poor countries have to use tariffs
44,And maybe they'll checking the quality of the junk coming from the PRC.
45,"The People are Indivisible. 
#50501 coming again 2/17/25.

Wer'e just getting started."
46,"This is gonna backfire so bad, smh"
47,"He'll be announce. The announce will be such wow, so many announce. It will be definition of announce. No one announce before this seen announce, all of them, no one has seen such announce."
48,"This is a slap in the face for Australia, it's time we woke up the failing US hegemony. Tarriffs on Australian steel and aluminium needs to be reciprocated by closing the US military base in Western Australia and realign with our trading partners"
49,"""Trump says he'll be announce steel tariffs on Monday."" Did a 7 yr old write that, or is that just a clue to the type of news we can expect here? "
50,This is a good thing. Several countries have been taking liberties with scrap metal for decades.
51,when will food cost start to go down are we maken gas and oil now
52,What about our great plastic mills
53,"Get 'um, Trump!!! 
You go, boy!!!"
54,Trump is doing an outstanding job!
55,Yes charge the world a premium for the product we make. You're not gonna get better metals from anywhere else hands down.
56,"Carbon fiber is the best industry to invest in America,  European Union,  China and India."
57,It’s obvious he’s trying to bring it back to the US. I’m gonna give it time. Along with some of the new drilling to begin. And see where we’re at then. It’s either gonna suck or potentially work.
58,Don’t go to Forbes for grammar 
59,"years ago while in the Marines we would go to Norway and train every few winters. a lot of the Marines would take several extra pairs of Levi's or wrangler jeans that cost 20-25 dollars with them, and you could sell them for 80-100 dollars each with no problems. the reason for that is because Norway had such huge tariffs on everything American made and for the Norwegians to buy these same jeans in their stores it would cost them over 120 dollars a pair. other countries around the world have had huge tariffs on American goods for decades while we had little to none on their products coming into our country. it is only fair that we hang the same tariffs on other countries that they impose on us."
60,"All part of what he said he would do and what the people voted for. 
DEAL WITH IT !"
61,How about some egg tariffs bro?
62,Him be announce day of when him can. Proof read!!!!
63,"Why don't Trumpy buy it?He is the greatest,bestest,smartest"
64,LMFAO!!! 
65,Good trump - you can apply any kind of tariff on to any country specialty on to MÉXICO 🇲🇽 anyways your shooting on your fit - .
66,When you announce your plans on Sunday that you will announce those plans on monday: you are too old and can't grasp simple concepts. But that's how this country likes it. 🇺🇸
67,Inflation going up !!!!!!!!
68,Dei wrote title
69,Trump planings gold diamonds brightness plannings
70,This will make the blue haired democrats furious. 
71,Damn he’s looking old! I know he’s old but he’s really showing it. Can he make it for four more years? He’s old
72,Happy Gulf of America Day Everyone!!!!!!!!
73,
74,Bravo President Trump!
75,Thank God for President Trump. ️🇺🇸
76,"Just a no nonsense, commonsense Super President. "
77,Will this one last more than 1 hour or will chicken trump spook himself before then ? 
78,Americans are getting big tax increases
79,"February 9th, Gulf of America Day !  February 9th, 1969 First Flight of the Jumbo Jet. Mister President, give the pen to your Airforce One 747 Captain. Regards and thank you, Americans, for electing Donald Trump. On behalf of the rest of the world: Capt RS, fmr Airforce One Commander (UAE) and current 747 captain from Switzerland. "
80,"does Forbes even read the titles of videos they upload? ""he'll be announce"" what does that even mean"
81,"Rah, Rah,  President Trump ️"
82,The dumbest US president in history 
